customer_id,customer_name,city,address,points,membership_type
1,Lindsey Friedman,Mafraq,32738 Wilcox Track - South Andrew - KS 73897,2108,Silver
2,Shari Fry,Salt,70430 Warren Fields - Popestad - IL 80257,4683,Gold
3,Susan Spencer,Aqaba,5535 Terrence Gateway - Lake Reginahaven - NC 02922,3184,Gold
4,Tracy Decker,Salt,7875 Patricia Harbors - Bradyview - LA 46951,1531,Silver
5,Jonathan Morales,Madaba,1653 Murillo Ridges - North Wendymouth - WA 33801,62,Bronze
6,Terry Gross,Mafraq,0902 Cameron Tunnel - Moralesmouth - DE 17266,4122,Bronze
7,Randy Sexton,Irbid,870 Tonya Walks - Port Adam - NY 95599,1878,Gold
8,Gabriela Clay,Aqaba,9651 Alexander Walk - Port Adrianchester - AL 62466,1673,Silver
9,Javier Hayden,Madaba,270 Hoffman Causeway - Hebertmouth - NC 85370,1111,Silver
10,Jesse Rodriguez,Zarqa,0396 Colton Crossroad - West Davidburgh - WY 93550,394,Silver
11,Eugene Martinez,Madaba,5080 Tara Parks - South Tamaraview - NM 13067,1450,Silver
12,Sarah Padilla,Mafraq,80948 Hahn Radial - Youngtown - WY 79532,4433,Bronze
13,Melissa Cobb,Jerash,9148 Harris Manors - East Luke - CA 10030,1529,Silver
14,Lucas Francis DVM,Madaba,27062 Fox Junction - Meyermouth - IN 78400,4290,Bronze
15,Mary Marshall,Madaba,7051 Christine Path - Ortegafort - DC 43095,3824,Gold
16,Rachel Conley,Irbid,73866 Freeman Forks - Port Jeffreyland - UT 95508,1751,Silver
17,Brandon Wilson,Mafraq,87978 John Squares - West Carrie - FL 61300,635,Gold
18,Kimberly Wright DVM,Jerash,624 Peters Creek - Clarkfurt - MT 47948,1064,Silver
19,Jill Guerrero,Madaba,32112 Powell Mills - Port Tiffanyborough - NE 75849,955,Silver
20,Derek Evans,Irbid,18519 Torres Well - Sheachester - SC 29516,1796,Silver
21,Thomas Lewis,Irbid,54675 Holloway Points - South Ashleyberg - OH 65298,1353,Gold
22,Michael Gonzalez,Aqaba,4439 Fox Rapid - Lewisshire - TN 99789,1442,Gold
23,Lisa Gardner,Aqaba,30738 Perez Gateway - Jeffreyview - NE 01604,1557,Silver
24,Rachel Perez,Madaba,8412 Wise Trafficway - Port David - NC 11317,3348,Bronze
25,Ian Barnett,Aqaba,13743 Morris Rue - Brownchester - MO 78982,3367,Bronze
26,Dakota Cohen,Jerash,389 Brett Expressway - East Nathan - FL 74048,4248,Bronze
27,Carrie Alexander,Irbid,07762 Kimberly Village - South Williamborough - CO 25465,4666,Bronze
28,Rhonda Martin,Mafraq,92599 Mary Ridges - Stevenburgh - VA 47137,4721,Gold
29,Erika Ferguson,Salt,89651 Garza Villages - Ericchester - MI 24768,3892,Bronze
30,Kelly Brooks,Irbid,79004 Smith River - East Gregoryberg - NC 04051,2783,Silver
31,Jason Saunders,Salt,199 Foster Mountain - Penahaven - VT 93285,3153,Silver
32,Angela Martinez,Irbid,71468 Anthony Plaza - Garciaport - SC 29247,4044,Gold
33,George Liu,Madaba,192 Taylor Greens - Knightmouth - PA 93333,2041,Bronze
34,Jordan Novak,Mafraq,942 Eric Ramp - Hoodview - IN 45049,1518,Gold
35,Dennis Boyer,Amman,4740 Phillips Mountains - South Kimberlyfurt - TX 07465,1899,Gold
36,Richard Green,Amman,548 Kendra Forges - Andrewville - NE 91627,1633,Gold
