customer_id,customer_name,city,address,points,membership_type
1,Deanna Kramer,Jerash,43821 Joseph Shores,497,Platinum
2,Brittany Perry,Ajloun,51139 Alan Ramp,1398,Gold
3,Angela Sullivan,Jerash,4926 Wilkins Shoals Suite 428,2921,Bronze
4,Dr. Nicholas Moore,Karak,217 Jones Mission,2167,Gold
5,Austin Bennett,Madaba,79999 Franco Road,1440,Silver
6,Robin Bryant,Karak,0713 Nancy Squares,4890,Platinum
7,Frank Blackburn,Mafraq,51010 Alexander Drives Suite 599,4254,Bronze
8,Catherine Kelley,Aqaba,510 Smith Prairie Suite 280,2446,Bronze
9,Molly Farrell,Aqaba,74222 Mclaughlin Spurs Suite 598,1228,Gold
10,Robin Hogan,Ajloun,58978 Welch Ville,2007,Gold
11,Bonnie Lewis,Mafraq,60745 Robert Lights Apt. 272,1014,Platinum
12,Shawn Hess,Jerash,7112 Andrews Extensions,2636,Silver
13,William Elliott,Aqaba,40262 Saunders Springs Suite 339,102,Silver
14,Tyler Kennedy,Aqaba,2658 Rogers Knoll,781,Platinum
15,Casey Blair,Mafraq,94136 Robert Mountains,69,Bronze
16,David Stephens,Madaba,86711 Barry Forge,4797,Platinum
17,Amanda Reyes,Irbid,059 Mercado Via Apt. 480,2455,Bronze
18,Abigail English,Salt,201 Austin Hollow Apt. 968,699,Silver
19,Ms. Cassandra Wilson,Jerash,389 Fields Pike,863,Gold
20,Michelle Gibson,Salt,0469 Michelle Cove Apt. 651,4214,Silver
21,Michelle Wilcox,Irbid,68015 Bradley Square Apt. 798,3299,Silver
22,Amber Kemp,Aqaba,99061 David Fall,1400,Platinum
23,Deanna Butler,Zarqa,0190 Cochran Landing,828,Silver
24,Larry Morris,Zarqa,3223 Charles Gateway,4927,Silver
25,Nicole Foster,Ajloun,169 Peters Radial,4736,Silver
26,Christopher Brown,Jerash,80957 Walsh Corners Apt. 757,45,Silver
27,Yolanda Goodwin,Karak,450 King Springs Apt. 069,4594,Platinum
28,Michelle Roy,Mafraq,7924 Ward Villages,2853,Gold
29,Erik Morris,Aqaba,8742 Moore Forges Suite 952,3332,Platinum
30,Ricky Pitts,Salt,1253 Robert Plains,1772,Silver
31,Joseph Hays,Madaba,25876 Lara Grove Suite 263,640,Gold
32,Angela Harrell,Mafraq,0813 Scott Station,4578,Bronze
33,Jennifer Michael,Jerash,875 Howard Terrace,900,Silver
34,Lisa Aguilar,Karak,158 Rick Harbors,4029,Gold
35,Bethany Banks,Zarqa,52884 Sheila Union,3138,Bronze
36,Michele Martin,Aqaba,8006 Derek Plains,2358,Gold
37,Scott Ford,Amman,89188 Melissa Cliffs,3236,Silver
38,Mrs. Stacey Mason MD,Salt,516 Devin Estate Suite 866,3269,Gold
39,Dr. Andrea Johnson,Amman,1413 Webb Corners Apt. 796,1985,Gold
40,Ronald Obrien,Irbid,8473 Rebecca Curve Apt. 707,3504,Silver
41,Joseph Armstrong,Salt,390 Benjamin Road Suite 917,2108,Platinum
42,Jack Lowe,Salt,77936 Patricia Plain Suite 419,1574,Gold
43,Adam Daugherty,Aqaba,6838 Tara Village,2050,Bronze
44,Shelia Wilson,Karak,37154 Perez Mission,3846,Bronze
45,Thomas Watts,Madaba,355 Hill Ville Apt. 395,2621,Gold
46,Christian Ward,Ajloun,1937 Taylor View Apt. 190,4458,Bronze
47,Karen Johnson,Madaba,340 Kristy Lodge Apt. 395,1489,Gold
48,Joseph Clarke,Madaba,653 Mary Meadow,2603,Bronze
49,Amanda Carroll,Mafraq,6795 Ayala Forge,4927,Gold
50,Cheryl Harmon,Mafraq,23122 Ford Motorway,3347,Gold
51,Jennifer Green,Madaba,3030 Robertson Loaf,4871,Silver
52,Joseph Orr,Karak,668 Lisa Well,819,Platinum
53,Julie Parker,Mafraq,2191 Petersen Wells Suite 071,2703,Platinum
54,Jessica Perry MD,Mafraq,61935 Vazquez Way Apt. 322,3711,Gold
55,Sarah Bowers,Mafraq,45572 Valerie Drive Apt. 846,4069,Bronze
56,Andrea Tapia,Mafraq,03263 Isabella Club Suite 933,4270,Platinum
57,Abigail Jordan,Salt,04737 Clark Drive,2655,Platinum
58,Sara Elliott,Irbid,117 Garrett Spurs,381,Silver
59,Robert Branch,Amman,8196 Walker Garden Apt. 013,4937,Platinum
60,Laura Charles,Irbid,62538 Galloway Rest,4788,Bronze
61,Robert Cook,Mafraq,4306 Alfred Underpass,1974,Platinum
62,Erin Griffin,Ajloun,42276 Campbell Dam,679,Platinum
63,Angelica Miller,Ajloun,19372 Cory Neck,4012,Bronze
64,Maria Davidson,Mafraq,13911 Sims Hollow Apt. 654,908,Bronze
65,Matthew Miller,Zarqa,522 Jason Cliffs,1543,Platinum
66,James Casey,Aqaba,6045 Johnson Greens Suite 696,601,Bronze
67,Kenneth Matthews,Mafraq,61823 Diana Mews Apt. 907,3501,Gold
68,Charles Walton,Karak,17620 Baker View,3185,Bronze
69,Melissa Lee,Madaba,62592 Jimmy Mall Suite 539,4602,Gold
70,Daniel Wilson,Ajloun,8111 Rowe Land Apt. 880,77,Silver
71,Christopher Stevens,Salt,2538 Christopher Locks Apt. 944,351,Bronze
72,Michael Kelly,Zarqa,51195 Colleen Prairie Suite 553,4263,Bronze
73,Yvette Davenport,Salt,58453 Glenda Pines Suite 300,1997,Platinum
74,John Bishop,Salt,125 Lowe Cove Suite 076,1786,Platinum
75,Laura Velasquez,Jerash,67336 Robert Stravenue,1344,Bronze
